,sequence,res_scheme,bitrate,chunk,q_0,q_1,q_2,q_3,q_4,q_5,d_0,d_1,d_2,d_3,d_4,d_5,b_0,b_1,b_2,b_3,b_4,b_5
0,v22_WildDolphins,sp4,500,0,38.1943422809,37.7578205106,36.4812801075,34.1712096453,36.7034533534,45.226137136300004,10.0017811755,10.970757315699998,14.641307066800001,25.0424658077,13.912117996900001,1.9669621271700002,925.88,940.716,942.0880000000001,924.148,934.852,938.944
1,v22_WildDolphins,sp4,760,0,33.7172039862,33.359658453099996,41.545027378,39.246025142,41.2939982403,48.5723307418,7.711276632430001,8.38975562324,11.029778481300001,19.2911040703,10.868251459200001,1.39891996486,1344.692,1369.98,1372.2320000000002,1340.116,1354.628,1376.24
2,v22_WildDolphins,sp4,1005,0,34.0508199103,33.6946553927,42.3764557333,39.5101949802,37.4630158817,49.2516636367,7.07543918077,7.70075341021,10.1002594419,18.0601877125,10.171305522799999,1.2370242311700002,1748.5839999999998,1772.596,1780.608,1748.256,1771.736,1783.12
3,v22_WildDolphins,sp4,1529,0,34.5384261405,34.1484967664,42.9718476931,35.5756404001,37.8239315709,50.3915607788,6.2585447822,6.85094816574,8.90170885495,15.958751078399999,9.3596597768,1.0270031587700001,2611.38,2636.5679999999998,2640.888,2586.6079999999997,2616.236,2641.452
4,v22_WildDolphins,sp4,2326,0,40.1053142998,39.5952456884,38.5327516722,35.7961881576,38.1303225927,48.7180767547,6.56931918645,7.25084810793,9.178925786499999,17.3230083367,10.0229692897,0.8804131563429999,3906.56,3937.012,3955.5840000000003,3907.784,3953.212,3969.9359999999997
5,v22_WildDolphins,sp4,3537,0,40.7860227334,40.238757188600005,39.1164585156,36.5328864279,38.3816131454,49.0638183695,5.66776963415,6.3222607976,8.059247921839999,14.8464071305,9.46562544675,0.825472914606,5910.02,5929.224,5931.255999999999,5902.94,5858.632,6004.7519999999995
6,v22_WildDolphins,sp4,5380,0,41.325634614,40.662010613,39.6002551594,37.020562973000004,38.5456614885,49.6200287573,5.06215516354,5.763902139880001,7.235376022839999,13.328790335799999,9.11549209547,0.724237742789,8931.735999999999,8852.176,8847.496,8866.948,8788.704,9064.372
7,v22_WildDolphins,sp4,8183,0,41.4160473071,40.7257192136,39.9167755846,37.0614753961,38.6469483711,50.340573272600004,4.93753785086,5.64945522739,6.724863897530001,13.0459030598,8.906905784560001,0.606515303769,13428.011999999999,13171.243999999999,13200.764,13302.208,13236.851999999999,13739.952
8,v22_WildDolphins,sp4,12445,0,42.0712641105,41.3344019762,40.4389122054,37.8214560379,38.766013634699995,50.516071887799995,4.33251773841,5.01465201458,6.00706947439,11.233333361700002,8.66868888822,0.588716671084,20169.676,19893.376,19804.523999999998,19912.908,19936.92,20743.004
9,v22_WildDolphins,sp4,14312,0,42.164415755300006,41.382728482800005,40.5363542318,37.9382845185,38.7770232119,50.7003688216,4.257494042699999,4.96197555642,5.88541050941,10.967194426099999,8.64691552171,0.564018545817,23464.68,22728.748,22698.1,22878.612,22825.604,23760.096
